1776346180.8813329,Not Paying Attention,115
1776346180.974084,Not Paying Attention,117
1776346181.0688293,Not Paying Attention,119
1776346181.1795352,Not Paying Attention,121
1776346181.2762747,Not Paying Attention,123
1776346181.3710208,Not Paying Attention,125
1776346181.46879,Not Paying Attention,127
1776346181.5824552,Not Paying Attention,129
1776346181.6762338,Not Paying Attention,131
1776346181.8726778,Not Paying Attention,133
1776346181.9843788,Not Paying Attention,135
1776346182.0791252,Not Paying Attention,137
1776346182.1728754,Not Paying Attention,139
1776346182.2686212,Not Paying Attention,141
1776346182.3833113,Not Paying Attention,143
1776346182.479056,Not Paying Attention,145
1776346182.5718074,Not Paying Attention,147
1776346182.667552,Not Paying Attention,149
1776346182.7802494,Not Paying Attention,151
1776346182.8789873,Not Paying Attention,153
1776346182.9787207,Not Paying Attention,155
1776346183.0824413,Not Paying Attention,157
1776346183.1811771,Not Paying Attention,159
1776346183.27692,Not Paying Attention,161
1776346183.3726635,Not Paying Attention,163
1776346183.4853637,Not Paying Attention,165
1776346183.5811086,Not Paying Attention,167
1776346183.6758523,Not Paying Attention,169
1776346183.772596,Not Paying Attention,171
1776346183.8872874,Not Paying Attention,173
1776346183.9810662,Not Paying Attention,175
1776346184.079775,Not Paying Attention,177
1776346184.1735215,Not Paying Attention,179
1776346184.2832277,Not Paying Attention,181
1776346184.3809655,Not Paying Attention,183
1776346184.4767392,Not Paying Attention,185
1776346184.5724828,Not Paying Attention,187
1776346184.684156,Not Paying Attention,189
1776346184.7799277,Not Paying Attention,190
1776346184.8776362,Not Paying Attention,192
1776346184.9713886,Not Paying Attention,194
1776401364.070561,Not Paying Attention,2
1776401364.164486,Not Paying Attention,4
1776401364.2468963,Not Paying Attention,6
1776401364.356182,Not Paying Attention,8
1776401364.4383116,Not Paying Attention,10
1776401364.563075,Not Paying Attention,12
1776401364.6670833,Not Paying Attention,14
1776401364.7552798,Not Paying Attention,16
1776401364.8504515,Not Paying Attention,18
1776401364.951186,Not Paying Attention,20
1776401365.0315735,Not Paying Attention,22
1776401365.169583,Not Paying Attention,24
1776401365.263538,Not Paying Attention,26
1776401365.3625288,Not Paying Attention,28
1776401365.4540975,Not Paying Attention,30
1776401365.5669737,Not Paying Attention,32
1776401365.6635659,Not Paying Attention,34
1776401365.7645113,Not Paying Attention,36
1776401365.8322453,Not Paying Attention,37
1776401365.959595,Not Paying Attention,39
1776401366.0662677,Not Paying Attention,41
1776401366.1445992,Not Paying Attention,43
